"c_port";"l_port";"v_lat_p";"v_lon_p";"c_pays_fao";"gid";"c_locode";"l_com";"d_creation";"d_modification";"the_geom"
6;"ST JEAN DE LUZ";43.380;-1.670;"FRA";42;"FR  ZJZ";"";"";"2011-12-20 08:55:36.712597";"0101000020E6100000B81E85EB51B8FABF713D0AD7A3B04540"
35;"BERMEO";43.250;-2.430;"ESP";3;"ES  BRM";"";"";"2011-12-20 08:55:36.712597";"0101000020E6100000713D0AD7A37003C00000000000A04540"
36;"SANTANDOR";43.270;-3.480;"ESP";4;"ES  SDR";"";"";"2011-12-20 08:55:36.712597";"0101000020E6100000D7A3703D0AD70BC0C3F5285C8FA24540"
27;"LIBREVILLE";0.270;9.250;"GAB";63;"GA  LBV";"";"";"2011-12-20 08:55:36.712597";"0101000020E6100000000000000080224048E17A14AE47D13F"
28;"SAO TOME";0.270;6.500;"STP";64;"ST  TMS";"";"";"2011-12-20 08:55:36.712597";"0101000020E61000000000000000001A4048E17A14AE47D13F"
32;"RIBEIRA";43.060;-8.590;"PRT";68;"ES  RBI";"";"";"2011-12-20 08:55:36.712597";"0101000020E6100000AE47E17A142E21C048E17A14AE874540"
33;"ALGESIRAS";36.080;-5.250;"ESP";1;"ES  ALG";"";"";"2011-12-20 08:55:36.712597";"0101000020E610000000000000000015C00AD7A3703D0A4240"
34;"VILLAGARCIA";42.370;-8.460;"ESP";2;"ES  VIL";"";"";"2011-12-20 08:55:36.712597";"0101000020E6100000EC51B81E85EB20C08FC2F5285C2F4540"
7;"PORT GENTIL";-0.580;7.570;"GAB";43;"GA  POG";"";"";"2011-12-20 08:55:36.712597";"0101000020E610000048E17A14AE471E408FC2F5285C8FE2BF"
18;"MONTEVIDEO";-34.540;-56.150;"URY";54;"UY  MVD";"";"";"2011-12-20 08:55:36.712597";"0101000020E61000003333333333134CC085EB51B81E4541C0"
11;"LAS PALMAS";30.000;-13.000;"ESP";47;"ES  LPA";"";"";"2011-12-20 08:55:36.712597";"0101000020E61000000000000000002AC00000000000003E40"
13;"BUENOS AIRES";-34.360;-58.220;"ARG";49;"AR  BUE";"";"";"2011-12-20 08:55:36.712597";"0101000020E61000005C8FC2F5281C4DC0AE47E17A142E41C0"
16;"TENERIFE";28.280;-16.150;"ESP";52;"ES  TCI";"";"";"2011-12-20 08:55:36.712597";"0101000020E610000066666666662630C048E17A14AE473C40"
